591	NM_152486.4	chr1	+	861110	879954	861321	879533	14	861110,861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861180,861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879954,	0	SAMD11	cmpl	cmpl	-1,0,0,2,2,1,1,1,2,1,2,1,0,0,
591	NM_198317.3	chr1	+	895963	901099	896073	900571	12	895963,896672,897008,897205,897734,898083,898488,898716,899299,899486,899728,900342,	896180,896932,897130,897427,897851,898297,898633,898884,899388,899560,899910,901099,	0	KLHL17	cmpl	cmpl	0,2,1,0,0,0,1,2,2,1,0,2,
592	NM_005101.4	chr1	+	948876	949920	948953	949858	2	948876,949363,	948956,949920,	0	ISG15	cmpl	cmpl	0,0,
592	NM_198576.4	chr1	+	955499	991496	955552	990361	36	955499,957580,970656,976044,976552,976857,977335,978618,978917,979202,979488,979713,980540,980738,981112,981343,981539,981776,982199,982706,982952,983155,983391,984246,984615,984945,985282,985612,985806,986105,986632,986832,987107,989132,989827,990203,	955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931,991496,	0	AGRN	cmpl	cmpl	0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,2,2,1,1,2,2,0,0,1,2,2,1,
593	NM_003327.4	chr1	-	1146719	1149533	1146934	1149507	7	1146719,1147083,1147321,1148017,1148371,1149042,1149362,	1147005,1147212,1147518,1148084,1148473,1149165,1149533,	0	TNFRSF4	cmpl	cmpl	1,1,2,1,1,1,0,
593	NM_016176.6	chr1	-	1152310	1167381	1152891	1164152	7	1152310,1153837,1154148,1158623,1159211,1163847,1167271,	1153068,1154013,1154307,1158737,1159348,1164326,1167381,	0	SDF4	cmpl	cmpl	0,1,1,1,2,0,-1,
593	NM_080605.4	chr1	+	1167616	1170421	1167658	1168648	1	1167616,	1170421,	0	B3GALT6	cmpl	cmpl	0,
74	NM_001014980.3	chr1	-	1177832	1182102	1177927	1182070	8	1177832,1178214,1178441,1178823,1179333,1179570,1179760,1181893,	1178026,1178293,1178532,1178932,1179485,1179655,1179877,1182102,	0	C1QTNF12	cmpl	cmpl	0,2,1,0,1,0,0,0,
594	NM_194315.2	chr1	-	1189291	1209234	1190582	1203372	8	1189291,1191424,1192371,1192587,1198725,1200162,1203241,1209045,	1190867,1191505,1192510,1192690,1198766,1200210,1203372,1209234,	0	UBE2J2	cmpl	cmpl	0,0,2,1,2,2,0,-1,
594	NM_001130413.4	chr1	+	1215815	1227405	1216041	1226990	18	1215815,1216605,1216790,1217621,1219357,1220950,1221305,1222147,1222488,1222887,1223052,1223318,1225650,1225856,1226016,1226274,1226444,1226633,	1216046,1216677,1216990,1217695,1219470,1221044,1221658,1222355,1222679,1222976,1223216,1223417,1225768,1225935,1226074,1226333,1226520,1227405,	0	SCNN1D	cmpl	cmpl	0,2,2,1,0,2,0,2,0,2,1,0,0,1,2,0,2,0,
594	NM_030649.3	chr1	-	1227770	1243310	1228943	1243195	24	1227770,1229202,1229469,1229781,1230097,1230826,1231115,1231394,1231590,1231804,1233201,1233392,1233749,1233946,1234724,1235210,1235352,1235537,1235888,1237367,1238301,1238541,1239465,1243148,	1229088,1229313,1229579,1230008,1230196,1230934,1231318,1231489,1231660,1232013,1233313,1233493,1233801,1234059,1234736,1235285,1235448,1235582,1236072,1237426,1238355,1238661,1239523,1243310,	0	ACAP3	cmpl	cmpl	2,2,0,1,1,1,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,
594	NM_152228.3	chr1	+	1266659	1270694	1266725	1269844	6	1266659,1267017,1267403,1268300,1268638,1268885,	1266916,1267318,1268186,1268504,1268759,1270694,	0	TAS1R3	cmpl	cmpl	0,2,0,0,0,1,
594	NM_004421.3	chr1	-	1270657	1284798	1271521	1284445	15	1270657,1273356,1273648,1273901,1274741,1274961,1275115,1275417,1275626,1275789,1277046,1277432,1277742,1278068,1284275,	1271895,1273563,1273816,1274033,1274819,1275029,1275192,1275557,1275696,1275883,1277185,1277536,1277864,1278138,1284798,	0	DVL1	cmpl	cmpl	1,1,1,1,1,2,0,1,0,2,1,2,0,2,0,
594	NM_032348.4	chr1	-	1288070	1293935	1288983	1293884	10	1288070,1289227,1289409,1289572,1289733,1290061,1290623,1290829,1292060,1293835,	1289009,1289308,1289486,1289612,1289889,1290532,1290725,1291132,1292084,1293935,	0	MXRA8	cmpl	cmpl	1,1,2,1,1,1,1,1,1,0,
595	NM_022834.5	chr1	+	1371069	1378262	1371128	1375167	3	1371069,1372306,1374460,	1371201,1372864,1378262,	0	VWA1	cmpl	cmpl	0,1,1,
595	NM_031921.6	chr1	+	1407144	1433228	1407264	1431197	16	1407144,1412653,1414023,1414428,1416246,1417517,1417924,1420395,1421161,1421489,1421923,1423242,1424583,1425636,1425942,1430864,	1407469,1412730,1414125,1414488,1416316,1417683,1417994,1420551,1421218,1421615,1422048,1423294,1424654,1425804,1426051,1433228,	0	ATAD3B	cmpl	cmpl	0,1,0,0,0,1,2,0,0,0,0,2,0,2,2,0,
